epoch (ms);Accelerometer_x;Accelerometer_y;Accelerometer_z;Gyroscope_x;Gyroscope_y;Gyroscope_z;Participants;Label;Category;Set
11.1.2019 15:08;-0.10033333333333334;0.781;-0.13466666666666668;26.780399999999997;14.475399999999999;-33.2684;B;bench;heavy;30
11.1.2019 15:08;-0.2;0.9005000000000001;-0.20450000000000002;21.439;-6.3048;-4.0976;B;bench;heavy;30
2019-01-11 15:08:14.000;-0.247;0.9169999999999999;-0.206;-31.8414;-4.7318;touko.14;B;bench;heavy;30
11.1.2019 15:08;-0.269;tammi.25;-0.1185;-27.170799999999996;-11.7682;11.0122;B;bench;heavy;30
11.1.2019 15:08;-0.24566666666666667;1.1846666666666665;-0.07733333333333332;32.7318;0.8049999999999999;-10.5852;B;bench;heavy;30
11.1.2019 15:08;-0.1795;0.8614999999999999;-0.124;20.7562;-5.780600000000001;-2.4024;B;bench;heavy;30
11.1.2019 15:08;-0.20633333333333334;0.9296666666666668;-0.23233333333333336;3.8415999999999997;-3.7682;-6.255999999999999;B;bench;heavy;30
2019-01-11 15:08:15.000;-0.2615;0.9275;-0.2115;7.4998000000000005;-1.7075999999999993;2.0608000000000004;B;bench;heavy;30
11.1.2019 15:08;-0.27;0.957;-0.25566666666666665;-6.2072;-4.878;15.890199999999998;B;bench;heavy;30
11.1.2019 15:08;-0.1985;0.995;-0.22;-29.305;-3.1586;27.0976;B;bench;heavy;30
11.1.2019 15:08;-0.08800000000000001;0.789;-0.09666666666666668;-37.9024;-1.1343999999999994;20.7562;B;bench;heavy;30
11.1.2019 15:08;-0.0165;0.8540000000000001;-0.009500000000000001;16.2926;-3.5488;2.1708000000000003;B;bench;heavy;30
2019-01-11 15:08:16.000;-0.03133333333333333;0.9926666666666667;-0.06466666666666666;-1.7072000000000003;1.0732;-1.0364;B;bench;heavy;30
11.1.2019 15:08;-0.05;0.9929999999999999;-0.0165;-0.4511999999999997;-2.6586;helmi.94;B;bench;heavy;30
11.1.2019 15:08;-0.037;0.9833333333333334;-0.015333333333333332;-4.8048;-0.3902;-1.3782;B;bench;heavy;30
11.1.2019 15:08;-0.026000000000000002;0.948;-0.0009999999999999992;9.0242;-0.9879999999999995;-2.061;B;bench;heavy;30
11.1.2019 15:08;-0.05566666666666667;0.9916666666666666;-0.04033333333333333;0.7804;-4.683;maalis.98;B;bench;heavy;30
2019-01-11 15:08:17.000;-0.0475;0.955;-0.0455;huhti.42;-2.9756;-2.7682;B;bench;heavy;30
11.1.2019 15:08;-0.056;0.9826666666666667;-0.04633333333333334;-2.0122;0.5;-0.5365999999999999;B;bench;heavy;30
11.1.2019 15:08;-0.0635;0.9339999999999999;-0.049;heinä.58;maalis.14;-3.5245999999999995;B;bench;heavy;30
11.1.2019 15:08;-0.06966666666666667;0.758;-0.09600000000000002;27.170799999999996;8.561;-27.549;B;bench;heavy;30
11.1.2019 15:08;-0.1585;0.88;-0.192;21.5976;tammi.56;-15.317000000000002;B;bench;heavy;30
2019-01-11 15:08:18.000;-0.211;0.9313333333333333;-0.21666666666666667;-6.6952;-5.122;11.0974;B;bench;heavy;30
11.1.2019 15:08;-0.20700000000000002;1.0265;-0.087;-44.4024;-12.3048;heinä.18;B;bench;heavy;30
11.1.2019 15:08;-0.27799999999999997;1.3933333333333333;-0.08533333333333333;26.2194;5.9266000000000005;-20.8172;B;bench;heavy;30
11.1.2019 15:08;-0.225;0.8245;-0.1185;14.7196;-16.5122;-11.0732;B;bench;heavy;30
11.1.2019 15:08;-0.2683333333333333;0.8936666666666667;-0.16866666666666666;-3.3047999999999993;2.3538000000000006;-6.3416;B;bench;heavy;30
