Battery raw=2714 V=4.031 pct=81%
Battery raw=2712 V=4.082 pct=86%
BLE connected -> ACTIVE MODE
30700,0.667,-1.446,0.174,0.174
[VBT] <<< TOISTO VALMIS! Peak: 1.61 m/s | Mean: 1.09 m/s <<<

30720,0.662,-1.379,-0.082,0.000
30740,0.625,-1.338,-0.293,0.000
30760,0.570,-1.281,-0.462,0.000
30781,0.404,-1.146,-0.500,0.000
30801,0.158,-0.971,-0.500,0.000
30821,0.372,-0.658,-0.500,0.000
30841,0.789,-0.300,-0.425,0.000
30861,1.215,0.051,-0.361,0.000
30881,1.982,0.699,-0.190,0.000

[VBT] >>> TOISTO ALKOI >>>
30901,2.760,1.379,0.078,0.078
30921,3.047,1.617,0.388,0.388
30942,2.840,1.349,0.652,0.652
30962,2.714,1.211,0.872,0.872
30982,2.545,1.115,1.069,1.069
31002,2.303,0.944,1.229,1.229
31023,2.020,0.739,1.354,1.354
31043,1.752,0.540,1.431,1.431
31063,1.424,0.276,1.402,1.402
31083,1.133,0.019,1.374,1.374
31104,0.676,-0.516,1.242,1.242
31124,0.318,-0.892,1.046,1.046
31144,0.227,-1.200,0.794,0.794
31164,0.518,-1.505,0.489,0.489
31185,0.705,-1.668,0.143,0.143
[VBT] <<< TOISTO VALMIS! Peak: 1.43 m/s | Mean: 0.90 m/s <<<

31205,0.842,-1.767,-0.174,0.000
31225,0.920,-1.798,-0.447,0.000
31245,0.881,-1.739,-0.500,0.000
31266,0.911,-1.730,-0.500,0.000
31286,0.799,-1.608,-0.500,0.000
31306,0.433,-1.281,-0.500,0.000
31326,0.301,-0.867,-0.500,0.000
31346,1.014,-0.239,-0.425,0.000
31366,1.994,0.835,-0.222,0.000
31386,2.067,0.815,-0.053,0.000

[VBT] >>> TOISTO ALKOI >>>
31406,1.975,0.556,0.055,0.055
31427,2.276,0.771,0.210,0.210
31447,2.755,1.176,0.432,0.432
31467,3.134,1.571,0.725,0.725
31487,3.169,1.640,1.026,1.026
31508,2.591,1.106,1.229,1.229
31528,2.033,0.585,1.317,1.317
31548,1.748,0.404,1.368,1.368
31568,1.784,0.517,1.440,1.440
31589,1.770,0.525,1.517,1.517
31609,1.447,0.112,1.487,1.487
31629,0.930,-0.493,1.362,1.362
31649,0.355,-1.020,1.139,1.139
31670,0.314,-1.299,0.854,0.854
31690,0.491,-1.462,0.556,0.556
31710,0.720,-1.651,0.227,0.227
[VBT] <<< TOISTO VALMIS! Peak: 1.52 m/s | Mean: 0.93 m/s <<<

31730,0.957,-1.835,-0.113,0.000
31751,1.166,-1.978,-0.442,0.000
31771,1.124,-1.911,-0.500,0.000
31791,0.955,-1.743,-0.500,0.000
31811,0.779,-1.552,-0.500,0.000
31831,0.554,-1.342,-0.500,0.000
31851,0.208,-1.027,-0.500,0.000
31871,0.467,-0.620,-0.500,0.000
31891,1.169,-0.046,-0.425,0.000
31911,1.802,0.560,-0.268,0.000
31931,2.033,0.786,-0.097,0.000

[VBT] >>> TOISTO ALKOI >>>
31951,2.417,1.115,0.120,0.120
31971,2.861,1.410,0.388,0.388
31992,3.009,1.464,0.676,0.676
32012,2.869,1.367,0.926,0.926
32032,2.434,0.990,1.097,1.097
32052,1.910,0.524,1.176,1.176
32073,1.635,0.395,1.232,1.232
32093,1.601,0.437,1.292,1.292
32113,1.476,0.358,1.335,1.335
32133,1.218,0.114,1.308,1.308
32154,0.874,-0.234,1.282,1.282
32174,0.410,-0.672,1.127,1.127
32194,0.217,-1.056,0.901,0.901
32214,0.437,-1.264,0.640,0.640
32235,0.596,-1.420,0.341,0.341
[VBT] <<< TOISTO VALMIS! Peak: 1.33 m/s | Mean: 0.92 m/s <<<

32255,0.721,-1.515,0.043,0.043
32275,0.927,-1.671,-0.242,0.000
32295,1.012,-1.725,-0.494,0.000
32316,0.934,-1.616,-0.500,0.000
32336,0.789,-1.424,-0.500,0.000
32356,0.617,-1.212,-0.500,0.000
32376,0.415,-0.961,-0.500,0.000
32396,0.372,-0.677,-0.500,0.000
32416,0.884,-0.147,-0.425,0.000
32436,1.529,0.453,-0.286,0.000
32458,1.739,0.630,-0.127,0.000
32478,1.879,0.756,0.021,0.021

[VBT] >>> TOISTO ALKOI >>>
32498,1.976,0.824,0.179,0.179
32518,1.992,0.832,0.335,0.335
32538,1.832,0.664,0.456,0.456
32559,1.478,0.308,0.509,0.509
32579,1.145,-0.027,0.499,0.499
32599,0.914,-0.239,0.489,0.489
32619,0.825,-0.293,0.479,0.479
32640,0.853,-0.233,0.470,0.470
32660,0.890,-0.180,0.460,0.460
32680,0.884,-0.179,0.451,0.451
32700,0.849,-0.206,0.442,0.442
32721,0.899,-0.157,0.433,0.433
32741,0.971,-0.090,0.424,0.424
32761,1.014,-0.046,0.416,0.416
32781,1.087,0.026,0.408,0.408
32802,1.457,0.388,0.478,0.478
32822,1.662,0.571,0.578,0.578
32842,1.640,0.544,0.671,0.671
32862,1.510,0.423,0.739,0.739
32883,1.400,0.313,0.787,0.787
32903,1.202,0.110,0.772,0.772
32923,0.822,-0.236,0.756,0.756
32943,0.582,-0.481,0.649,0.649
32964,0.547,-0.610,0.512,0.512
32984,0.591,-0.645,0.378,0.378
33004,0.601,-0.661,0.243,0.243
33024,0.553,-0.779,0.089,0.089
[VBT] <<< TOISTO VALMIS! Peak: 0.79 m/s | Mean: 0.49 m/s <<<

33045,0.513,-0.813,-0.067,0.000
33065,0.492,-0.715,-0.176,0.000
33085,0.521,-0.545,-0.241,0.000
33105,0.710,-0.312,-0.257,0.000
33126,0.996,-0.053,-0.218,0.000
33146,1.223,0.129,-0.185,0.000
33166,1.285,0.171,-0.158,0.000
33186,1.264,0.144,-0.134,0.000
33206,1.300,0.143,-0.114,0.000
33226,1.387,0.193,-0.097,0.000
33246,1.429,0.227,-0.082,0.000
33266,1.513,0.303,-0.019,0.000

[VBT] >>> TOISTO ALKOI >>>
33286,1.627,0.409,0.060,0.060
33306,1.656,0.436,0.142,0.142
33326,1.698,0.476,0.231,0.231
33346,1.728,0.493,0.321,0.321
33367,1.727,0.509,0.417,0.417
33387,1.774,0.570,0.519,0.519
33408,1.821,0.627,0.635,0.635
33428,1.754,0.524,0.723,0.723
33449,1.230,0.066,0.709,0.709
33469,0.585,-0.433,0.611,0.611
33489,0.251,-0.798,0.445,0.445
33509,0.305,-1.129,0.219,0.219
[VBT] <<< TOISTO VALMIS! Peak: 0.72 m/s | Mean: 0.42 m/s <<<

33530,0.967,-1.835,-0.135,0.000
33550,1.285,-2.146,-0.473,0.000
33570,1.287,-2.152,-0.500,0.000
33590,1.099,-1.972,-0.500,0.000
33611,1.094,-1.931,-0.500,0.000
